price,latitude,longitude,homeStatus,zestimate,rentZestimate,detailUrl,address
349930.0,33.06849,-97.57191,FOR_SALE,,,/homedetails/104-Birch-Forest-Ln-Boyd-TX-76023/2055766276_zpid/,"104 Birch Forest Ln, Boyd, TX 76023"
250000.0,29.15556,-98.18588,FOR_SALE,254800,2194,/homedetails/185-Lark-Hill-Rd-Floresville-TX-78114/220766369_zpid/,"185 LARK HILL RD, Floresville, TX 78114"
335000.0,29.593653,-98.39361,FOR_SALE,335700,2264,/homedetails/15835-Colton-Wl-San-Antonio-TX-78247/26426174_zpid/,"15835 Colton Well, San Antonio, TX 78247"
679000.0,33.070766,-97.06322,FOR_SALE,680800,3300,/homedetails/2220-Waterstone-Trl-Flower-Mound-TX-75028/125713031_zpid/,"2220 Waterstone Trl, Flower Mound, TX 75028"
339900.0,33.004482,-96.87852,FOR_SALE,347900,2275,/homedetails/2008-Chatsworth-Rd-Carrollton-TX-75007/27329035_zpid/,"2008 Chatsworth Rd, Carrollton, TX 75007"
235000.0,30.761402,-98.22789,FOR_SALE,,,/homedetails/106-E-Johnson-St-Burnet-TX-78611/90293954_zpid/,"106 E Johnson Street, Burnet, TX 78611"
360000.0,30.642761,-97.866234,FOR_SALE,360100,2149,/homedetails/212-Tequilana-Pass-Leander-TX-78641/331485009_zpid/,"212 Tequilana Pass, Leander, TX 78641"
155950.0,29.957293,-93.92952,FOR_SALE,139400,1552,/homedetails/5520-Grant-Ave-Groves-TX-77619/50380220_zpid/,"5520 Grant Ave, Groves, TX 77619"
4600000.0,32.311054,-97.37219,FOR_SALE,,29354,/homedetails/2532-S-Highway-171-Cleburne-TX-76031/325802418_zpid/,"2532 S Highway 171, Cleburne, TX 76031"
499990.0,29.427189,-98.76926,FOR_SALE,499200,2984,/homedetails/506-Lucrezia-San-Antonio-TX-78253/122501466_zpid/,"506 LUCREZIA, San Antonio, TX 78253"
318000.0,30.509068,-97.65669,FOR_SALE,,,/homedetails/616-Lookout-Tree-Ln-Round-Rock-TX-78664/89660427_zpid/,"616 Lookout Tree Ln, Round Rock, TX 78664"
380000.0,32.913338,-97.40852,FOR_SALE,379700,2594,/homedetails/10500-Katalpa-Dr-Fort-Worth-TX-76179/2060202824_zpid/,"10500 Katalpa Dr, Fort Worth, TX 76179"
429900.0,29.950224,-97.885956,FOR_SALE,,,/homedetails/922-Silo-St-San-Marcos-TX-78666/303838955_zpid/,"922 Silo St, San Marcos, TX 78666"
499000.0,29.525133,-98.43926,FOR_SALE,498700,2800,/homedetails/9403-Forest-Oak-Dr-San-Antonio-TX-78217/26298270_zpid/,"9403 FOREST OAK DR, San Antonio, TX 78217"
769000.0,30.464052,-97.55789,FOR_SALE,769200,3545,/homedetails/19916-Isle-Of-Glass-St-Pflugerville-TX-78660/251030218_zpid/,"19916 Isle Of Glass St, Pflugerville, TX 78660"
305000.0,30.046837,-95.42199,FOR_SALE,303900,2199,/homedetails/602-Turley-St-Spring-TX-77373/28112118_zpid/,"602 Turley St, Spring, TX 77373"
290000.0,29.435995,-98.808,FOR_SALE,289800,1980,/homedetails/254-Reeves-Gdn-San-Antonio-TX-78253/116396913_zpid/,"254 Reeves Garden, San Antonio, TX 78253"
330000.0,32.476185,-97.18543,FOR_SALE,,,/homedetails/8401-Kelly-Ln-Alvarado-TX-76009/28648088_zpid/,"8401 Kelly Ln, Alvarado, TX 76009"
295000.0,29.440544,-95.1072,FOR_SALE,294900,2100,/homedetails/6878-Catalpa-Bluff-Ln-Dickinson-TX-77539/122934270_zpid/,"6878 Catalpa Bluff Ln, Dickinson, TX 77539"
299900.0,32.550884,-97.329,FOR_SALE,299600,2244,/homedetails/212-NE-Murphy-Rd-Burleson-TX-76028/28630580_zpid/,"212 NE Murphy Rd, Burleson, TX 76028"
345000.0,32.904686,-97.25929,FOR_SALE,345300,2312,/homedetails/9121-Quarry-Ridge-Trl-Fort-Worth-TX-76244/89543730_zpid/,"9121 Quarry Ridge Trl, Fort Worth, TX 76244"
360000.0,32.73328,-96.29262,FOR_SALE,,,/homedetails/116-Brooks-Dr-Terrell-TX-75160/209205249_zpid/,"116 Brooks Dr, Terrell, TX 75160"
215000.0,29.365654,-98.63584,FOR_SALE,214300,1639,/homedetails/6903-Hallie-Rdg-San-Antonio-TX-78227/80020364_zpid/,"6903 HALLIE RIDGE, San Antonio, TX 78227"
610000.0,29.19598,-98.31125,FOR_SALE,611100,3714,/homedetails/222-Broken-Arrow-Floresville-TX-78114/78925532_zpid/,"222 BROKEN ARROW, Floresville, TX 78114"
348000.0,30.14022,-97.7692,FOR_SALE,349800,2297,/homedetails/5621-Silver-Screen-Dr-Austin-TX-78747/79982335_zpid/,"5621 Silver Screen Dr, Austin, TX 78747"
220000.0,29.298756,-98.21819,FOR_SALE,220400,1512,/homedetails/157-Spring-Valley-Dr-Adkins-TX-78101/78930259_zpid/,"157 SPRING VALLEY DR, Adkins, TX 78101"
675000.0,33.24639,-96.687096,FOR_SALE,,,/homedetails/5400-Grove-Cove-Dr-McKinney-TX-75071/125235404_zpid/,"5400 Grove Cove Dr, McKinney, TX 75071"
410000.0,29.564222,-98.40924,FOR_SALE,409600,1999,/homedetails/13525-Beltway-St-San-Antonio-TX-78217/26369524_zpid/,"13525 BELTWAY ST, San Antonio, TX 78217"
655995.0,32.590343,-96.90175,FOR_SALE,642000,3704,/homedetails/105-Wild-River-Ct-Desoto-TX-75115/125280605_zpid/,"105 Wild River Ct, Desoto, TX 75115"
440000.0,30.58541,-96.11837,FOR_SALE,,1008,/homedetails/9518-County-Road-190-Anderson-TX-77830/338446602_zpid/,"9518 County Road 190, Anderson, TX 77830"
250000.0,31.69974,-106.258156,FOR_SALE,,1650,/homedetails/12229-Kingsgate-Ct-Socorro-TX-79928/79923597_zpid/,"12229 Kingsgate Ct, Socorro, TX 79928"
290000.0,32.573547,-97.29685,FOR_SALE,,,/homedetails/1248-Camden-Yard-Dr-Burleson-TX-76028/79947111_zpid/,"1248 Camden Yard Dr, Burleson, TX 76028"
95000.0,29.30453,-100.415726,FOR_SALE,92700,999,/homedetails/101-Avenida-Juarez-Rd-Brackettville-TX-78832/193933407_zpid/,"101 Avenida Juarez Rd, Brackettville, TX 78832"
300000.0,32.603695,-97.316734,FOR_SALE,300400,2500,/homedetails/213-Wolf-Mountain-Ln-Fort-Worth-TX-76140/79924470_zpid/,"213 Wolf Mountain Ln, Fort Worth, TX 76140"
184900.0,31.900488,-98.61091,FOR_SALE,181600,1495,/homedetails/607-W-College-Ave-Comanche-TX-76442/87240010_zpid/,"607 W College Ave, Comanche, TX 76442"
215000.0,29.923466,-95.58218,FOR_SALE,215600,1800,/homedetails/10919-Indian-Vista-Dr-Houston-TX-77064/28339052_zpid/,"10919 Indian Vista Dr, Houston, TX 77064"
310000.0,29.968971,-97.84649,FOR_SALE,311000,2149,/homedetails/236-Tower-Dr-Kyle-TX-78640/111963559_zpid/,"236 Tower Dr, Kyle, TX 78640"
544990.0,32.77963,-96.42456,FOR_SALE,,,/homedetails/1941-Knoxbridge-Rd-Forney-TX-75126/209206966_zpid/,"1941 Knoxbridge Rd, Forney, TX 75126"
379000.0,32.845715,-97.1681,FOR_SALE,380800,2500,/homedetails/201-W-Louella-Dr-Hurst-TX-76054/29028090_zpid/,"201 W Louella Dr, Hurst, TX 76054"
274900.0,29.611742,-95.724075,FOR_SALE,275300,1900,/homedetails/1018-Holly-Hall-Dr-Richmond-TX-77406/27563505_zpid/,"1018 Holly Hall Dr, Richmond, TX 77406"
165000.0,29.382105,-98.462776,FOR_SALE,164200,1539,/homedetails/130-Frances-Jean-Dr-San-Antonio-TX-78223/26226801_zpid/,"130 FRANCES JEAN DR, San Antonio, TX 78223"
299900.0,30.13754,-97.55195,FOR_SALE,,,/homedetails/116-N-Mockingbird-Cir-Cedar-Creek-TX-78612/84380940_zpid/,"116 N Mockingbird Cir, Cedar Creek, TX 78612"
248500.0,30.062166,-95.57123,FOR_SALE,248200,1794,/homedetails/10215-Berrypatch-Ln-Tomball-TX-77375/68409355_zpid/,"10215 Berrypatch Ln, Tomball, TX 77375"
310000.0,33.529858,-101.96554,FOR_SALE,309100,2257,/homedetails/6916-70th-St-Lubbock-TX-79424/242741219_zpid/,"6916 70th St, Lubbock, TX 79424"
279900.0,29.592592,-98.37339,FOR_SALE,279400,1650,/homedetails/5922-Oak-Run-St-San-Antonio-TX-78247/26427834_zpid/,"5922 OAK RUN ST, San Antonio, TX 78244"
330000.0,30.534575,-97.53396,FOR_SALE,330400,2394,/homedetails/214-Creek-Hollow-Dr-Hutto-TX-78634/331489302_zpid/,"214 Creek Hollow Dr, Hutto, TX 78634"
440000.0,32.94744,-96.74202,FOR_SALE,,,/homedetails/624-Scottsdale-Dr-Richardson-TX-75080/27169707_zpid/,"624 Scottsdale Dr, Richardson, TX 75080"
329900.0,29.819859,-95.27949,FOR_SALE,329200,2205,/homedetails/8037-Saint-Louis-St-Houston-TX-77028/97605094_zpid/,"8037 Saint Louis St, Houston, TX 77028"
350000.0,31.794947,-97.076225,FOR_SALE,285700,1800,/homedetails/11442-Heritage-Pkwy-West-TX-76691/112177355_zpid/,"11442 Heritage Pkwy, West, TX 76691"
135000.0,29.403597,-98.46883,FOR_SALE,132400,1294,/homedetails/534-Essex-St-San-Antonio-TX-78210/26116943_zpid/,"534 ESSEX ST, San Antonio, TX 78210"
260000.0,29.956156,-95.510414,FOR_SALE,259800,1800,/homedetails/6315-Lost-Timber-Ln-Houston-TX-77066/112156589_zpid/,"6315 Lost Timber Ln, Houston, TX 77066"
205000.0,31.08546,-97.36551,FOR_SALE,204100,1394,/homedetails/1609-S-35th-St-Temple-TX-76504/64688380_zpid/,"1609 S 35th St, Temple, TX 76504"
240000.0,29.584146,-95.51423,FOR_SALE,240000,1749,/homedetails/16714-Quail-View-Ct-Missouri-City-TX-77489/27592650_zpid/,"16714 Quail View Ct, Missouri City, TX 77489"
255000.0,30.504202,-97.82453,FOR_SALE,253100,2142,/homedetails/401-Buttercup-Creek-Blvd-UNIT-1004-Cedar-Park-TX-78613/88018439_zpid/,"401 Buttercup Creek Blvd UNIT 1004, Cedar Park, TX 78613"
429500.0,33.110847,-96.6437,FOR_SALE,,,/homedetails/1107-Thoreau-Ln-Allen-TX-75002/26621118_zpid/,"1107 Thoreau Ln, Allen, TX 75002"
274900.0,30.032255,-95.79738,FOR_SALE,274400,1994,/homedetails/24018-Thistle-Star-Ln-Hockley-TX-77447/305347656_zpid/,"24018 Thistle Star Ln, Hockley, TX 77447"
